report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,11426,1.669876,19.08,2.0,9.54,,,,,,0.428846,0.09090909,13.02293,,1541.0,,53.0,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-EnglishLearners_ZT-pic2_RS-P1X1R3C3_cty,inactive,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,10987,2.579412,28.34,1.0,28.34,,,,,,2.612178,0.00352113,,,293.0,,,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-Introverts_ZT-SelfImprovement_RS-P1X1R3C3_cty,inactive,3.0,actions:app_custom_event.fb_mobile_purchase,48.54,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,60996,2.38737,145.62,66.0,2.206364,4.0,36.405,3.0,48.54,0.307856,0.555774,0.26938776,12.748377,,8355.0,0.00491836,794.0,,
2025-12-01,2026-08-26,20260731_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_cty,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0731_joy,6067,2.848195,17.28,4.0,4.32,,,,,,0.939509,0.07843137,16.779298,,1105.0,,64.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-Professionals_ZT-Focus_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,24,0.416667,0.01,,,,,,,,0.0,,8.333333,,2.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-EnglishLearners_ZT-pic13_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,784,3.711735,2.91,,,,,,,,2.168367,0.0,,,17.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-parents_ZT-pic1_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,267,2.359551,0.63,,,,,,,,2.621723,0.0,,,6.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-SelfGrowth_ZT-pic4_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,49,1.836735,0.09,,,,,,,,4.081633,0.0,,,2.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-SelfGrowth_ZT-pic3_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,231,2.337662,0.54,,,,,,,,0.865801,0.0,,,2.0,,,,
2025-12-01,2026-08-26,20260730_GrowMe_EN_9x16_FX-SelfGrowth_ZT-pic1_RS-P1X1R3C3_cty,not_delivering,,,,260731_AAA_AEO-Purchase_ios_pic_Growme_mexbra_1_joy,410,3.341463,1.37,,,,,,,,1.95122,0.0,,,8.0,,,,
