报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,结果（初始）,成效（初始）指标
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-LifeLessons_ZT-dream_RS-P3X1R1C3_fj,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,3217,9.59,6,1.598333,,,,,,2.144855,0.15789474,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-Challenge_ZT-abcd_RS-P3X1R1C3_fj,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,17,0.04,,,,,,,,0,,,
2026-05-01,2026-06-15,20260609_GrowMe_EN_9x16_FX-LifeLessons_ZT-rconversations._RS-P3X1R1C3_fj,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,4644,14.41,6,2.401667,,,,,,1.313523,0.18181818,,
2026-05-01,2026-06-15,"20260609_GrowMe_EN_9x16_FX-Learning_ZT- read pic_RS-P3X1R1C3_fj",inactive,1,actions:app_custom_event.fb_mobile_purchase,104.22,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,35927,104.22,36,2.895,2,52.11,1,104.22,0.368164,1.876026,0.06870229,,
2026-05-01,2026-06-15,20260609_growme_EN_9x16_FX-Form_ZT-alone_RS-P1X1R1C3_095KB_mia_HJ_RMG-5219B,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,9,0,,,,,,,,0,,,
2026-05-01,2026-06-15,"20260608_growme_EN_9x16_FX-Successful _ZT-112_RS-P1X1R3C3_wxx",active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,1396,4.01,,,,,,,,1.289398,0,,
2026-05-01,2026-06-15,20260609_growme_EN_9x16_FX-Form_ZT-readingchallenge_RS-P1X1R1C1_095KB_mia_HJ_RMG-5219D,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,12,0.01,,,,,,,,0,,,
2026-05-01,2026-06-15,20260609_growme_EN_9x16_FX-Creative_ZT-onefact_RS-P1X1R1C3_095KB_HJ_RMG-5219A,active,,,,260610_AAA_AEO-Purchase_ios_vid_Growme_WW_0609_joy,155,0.73,,,,,,,,1.290323,0,,
2026-05-01,2026-06-15,"20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-chicken soup_RS-P3X1R1C3_fj_jql",active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,14934,39.17,10,3.917,,,,,,0.857105,0.14285714,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-consistency_RS-P3X1R1C3_fj_jql,inactive,1,actions:app_custom_event.fb_mobile_purchase,56.85,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,21928,56.85,14,4.060714,2,28.425,1,56.85,0.165699,0.752463,0.14,,
2026-05-01,2026-06-15,"20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-care about_RS-P3X1R1C3_fj_jql",active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,63640,110.23,25,4.4092,,,,,,0.501257,0.12820513,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-change_RS-P3X1R1C3_fj_jql,inactive,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,10908,30.39,8,3.79875,2,15.195,,,,1.650165,0.0620155,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-build_RS-P3X1R1C3_fj_jql,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,4205,9.27,5,1.854,2,4.635,,,,0.998811,0.2173913,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-Mindset_ZT-giveup_RS-P3X1R1C3_fj_jql,active,,,,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,4381,11.81,5,2.362,,,,,,2.054326,0.06666667,,
2026-05-01,2026-06-15,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-stop_RS-P3X1R1C3_fj_jql,inactive,1,actions:app_custom_event.fb_mobile_purchase,63.11,260609_AAA_AEO-Purchase_ios_vid_Growme_WW_0608_joy,26748,63.11,30,2.103667,1,63.11,1,63.11,0.394391,1.114102,0.16216216,,
