报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-wait_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,8686,18.38,1.715404,0.17460317,11,1.670909,,,,,,20.158876,73,9,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Communication_ZT-Foryour_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,186,0.53,0.537634,0,,,,,,,,23.655914,,4,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-WomenEmpowerment_ZT-cichang_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,85,0.09,0,,,,,,,,,16.470588,,2,,
2026-05-01,2026-06-08,20260602_GrowMe_EN_9x16_FX-Mindset_ZT-phone_RS-P3X1R1C3_fj_jql,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,173,0.24,0,,,,,,,,,15.606936,2,5,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-survive_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,1860,2.97,0.752688,0.2,1,2.97,,,,,,18.924731,7,5,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-101_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,20,0.02,0,,,,,,,,,30,,8,,
2026-05-01,2026-06-08,20260602_growme_EN_9x16_FX-Quotes_ZT-focus_RS-P1X1R3C3_wxx,active,,,,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,2208,5.26,1.358696,0.13333333,2,2.63,,,,,,20.425725,30,8,,
2026-05-01,2026-06-08,20260602_GrowMe_0_EN_9x16_FX-LifeLessons_ZT-confidence_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,86.14,260603_AAA_AEO-Purchase_ios_vid_Growme_WW_0602_joy,38533,86.14,1.297589,0.2480916,65,1.325231,2,43.07,1,86.14,0.255398,16.777827,989,6,,
2026-05-01,2026-06-08,20260601_GrowMe_0_EN_9x16_FX-Formats_ZT-read_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,441,1.19,2.267574,0,,,,,,,,16.099773,3,3,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-LifeLessons_ZT-mindset_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,846,2.68,0.591017,0,,,,,,,,15.72104,11,5,,
2026-05-01,2026-06-08,20260601_growme_EN_9x16_FX-Quotes_ZT-meaningful_RS-P1X1R3C3_wxx,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,48,0.04,4.166667,,,,,,,,,20.833333,1,3,,
2026-05-01,2026-06-08,20260601_GrowMe_EN_9x16_FX-Learning_ZT-listen_RS-P3X1R1C3_gy,active,,,,260602_AAA_AEO-Purchase_ios_vid_Growme_WW_0601_joy,105,0.23,2.857143,0,,,,,,,,20,1,12,,
